recipe_name,ingredient_name,amount_text
白ごはん,米,2合
白ごはん,水,2合分
かけうどん,冷凍うどん,1玉
かけうどん,水,300ml
かけうどん,和風だしの素,小さじ1
かけうどん,しょうゆ,小さじ2
かけうどん,みりん,小さじ2
かけうどん,塩,ひとつまみ
かけうどん,青ねぎ,適量
ハンバーグ,合挽ミンチ,250g
ハンバーグ,玉ねぎ,1/2個
ハンバーグ,たまご,1個
ハンバーグ,パン粉,1/2カップ
ハンバーグ,牛乳,大さじ2
ハンバーグ,塩,少々
ハンバーグ,こしょう,少々
ハンバーグ,サラダ油,小さじ1
ハンバーグ,ケチャップ,大さじ2
ハンバーグ,ウスターソース,大さじ1
ポテトサラダ,じゃがいも,2個
ポテトサラダ,きゅうり,1/2本
ポテトサラダ,にんじん,1/4本
ポテトサラダ,ハム,2枚
ポテトサラダ,マヨネーズ,大さじ3
ポテトサラダ,塩,少々
ポテトサラダ,こしょう,少々
きんぴらごぼう,ごぼう,1/2本
きんぴらごぼう,にんじん,1/3本
きんぴらごぼう,ごま油,大さじ1
きんぴらごぼう,しょうゆ,大さじ1
きんぴらごぼう,みりん,大さじ1
きんぴらごぼう,砂糖,小さじ1
きんぴらごぼう,白ごま,適量
だし巻きたまご,たまご,3個
だし巻きたまご,水,大さじ2
だし巻きたまご,和風だしの素,小さじ1/2
だし巻きたまご,しょうゆ,小さじ1
だし巻きたまご,みりん,小さじ1
だし巻きたまご,サラダ油,少量
からあげ,鶏もも肉,300g
からあげ,しょうゆ,大さじ1
からあげ,料理酒,大さじ1
からあげ,しょうが,小さじ1
からあげ,にんにく,小さじ1
からあげ,片栗粉,大さじ3
からあげ,揚げ油,適量
みそ汁,豆腐,1/2丁
みそ汁,生わかめ,適量
みそ汁,水,400ml
みそ汁,和風だしの素,小さじ1
みそ汁,みそ,大さじ1と1/2
みそ汁,青ねぎ,適量
たまごスープ,たまご,1個
たまごスープ,水,400ml
たまごスープ,鶏がらスープの素,小さじ2
たまごスープ,しょうゆ,小さじ1
たまごスープ,片栗粉,小さじ1
たまごスープ,水,小さじ2
たまごスープ,青ねぎ,適量
