食材名,カテゴリ,種別,よみがな
りんご,青果,食材,りんご
バナナ,青果,食材,ばなな
レモン,青果,食材,れもん
キャベツ,青果,食材,きゃべつ
なす,青果,食材,なす
ピーマン,青果,食材,ぴーまん
レタス,青果,食材,れたす
きゅうり,青果,食材,きゅうり
ブロッコリー,青果,食材,ぶろっこりー
トマト,青果,食材,とまと
ミニトマト,青果,食材,みにとまと
しいたけ,青果,食材,しいたけ
しめじ,青果,食材,しめじ
えのき,青果,食材,えのき
エリンギ,青果,食材,えりんぎ
ほうれんそう,青果,食材,ほうれんそう
こまつな,青果,食材,こまつな
みずな,青果,食材,みずな
はくさい,青果,食材,はくさい
白ねぎ,青果,食材,しろねぎ
だいこん,青果,食材,だいこん
たまねぎ,青果,食材,たまねぎ
にんじん,青果,食材,にんじん
じゃがいも,青果,食材,じゃがいも
さといも,青果,食材,さといも
かぼちゃ,青果,食材,かぼちゃ
ごぼう,青果,食材,ごぼう
れんこん,青果,食材,れんこん
もやし,青果,食材,もやし
たけのこ水煮,青果,食材,たけのこみずに
鶏もも肉,魚・肉,食材,とりももにく
鶏むね肉,魚・肉,食材,とりむねにく
鶏ささみ,魚・肉,食材,とりささみ
手羽先,魚・肉,食材,てばさき
手羽もと,魚・肉,食材,てばもと
鶏ミンチ,魚・肉,食材,とりみんち
豚こま肉,魚・肉,食材,ぶたこまにく
豚バラ肉,魚・肉,食材,ぶたばらにく
豚ロース,魚・肉,食材,ぶたろーす
豚ミンチ,魚・肉,食材,ぶたみんち
牛こま肉,魚・肉,食材,うしこまにく
合挽ミンチ,魚・肉,食材,あいびきみんち
すじ肉,魚・肉,食材,すじにく
餃子の皮,魚・肉,食材,ぎょうざのかわ
春巻きの皮,魚・肉,食材,はるまきのかわ
さしみ,魚・肉,食材,さしみ
まぐろ,魚・肉,食材,まぐろ
さけ,魚・肉,食材,さけ
ぶり,魚・肉,食材,ぶり
あじ,魚・肉,食材,あじ
さば,魚・肉,食材,さば
あさり,魚・肉,食材,あさり
たらこ・めんたいこ,魚・肉,食材,たらこ・めんたいこ
干物,魚・肉,食材,ひもの
生わかめ,魚・肉,食材,せいわかめ
ハム,魚・肉,食材,はむ
ウインナー,魚・肉,食材,ういんなー
ベーコン,魚・肉,食材,べーこん
小麦粉,常温,食材,こむぎこ
片栗粉,常温,食材,かたくりこ
お好み焼き粉,常温,食材,おこのみやきこ
たこ焼き粉,常温,食材,たこやきこ
海苔,常温,食材,のり
ツナ缶,常温,食材,つなかん
ごま,常温,食材,ごま
ひじき,常温,食材,ひじき
パン粉,常温,食材,ぱんこ
かつおぶし,常温,食材,かつおぶし
カレー粉,常温,食材,かれーこ
クリームシチュー,常温,食材,くりーむしちゅー
パスタ,常温,食材,ぱすた
パスタソース,常温,食材,ぱすたそーす
グラタンソース,常温,食材,ぐらたんそーす
乾麺,常温,食材,かんめん
醤油,常温,調味料ほか,しょうゆ
みりん,常温,調味料ほか,みりん
料理酒,常温,調味料ほか,りょうりしゅ
酢,常温,調味料ほか,す
みそ,常温,調味料ほか,みそ
マヨネーズ,常温,調味料ほか,まよねーず
ケチャップ,常温,調味料ほか,けちゃっぷ
ソース,常温,調味料ほか,そーす
焼き肉のたれ,常温,調味料ほか,やきにくのたれ
砂糖,常温,調味料ほか,さとう
塩,常温,調味料ほか,しお
こしょう,常温,調味料ほか,こしょう
サラダ油,常温,調味料ほか,さらだあぶら
ごま油,常温,調味料ほか,ごまあぶら
豆腐,冷蔵,食材,とうふ
うす揚げ,冷蔵,食材,うすあげ
厚揚げ,冷蔵,食材,あつあげ
納豆,冷蔵,食材,なっとう
こんにゃく,冷蔵,食材,こんにゃく
ちくわ,冷蔵,食材,ちくわ
かまぼこ,冷蔵,食材,かまぼこ
かにかま,冷蔵,食材,かにかま
たくあん,冷蔵,食材,たくあん
キムチ,冷蔵,食材,きむち
佃煮,冷蔵,食材,つくだに
うどん,冷蔵,食材,うどん
和そば,冷蔵,食材,わそば
焼きそば,冷蔵,食材,やきそば
中華めん,冷蔵,食材,ちゅうかめん
冷やし中華めん,冷蔵,食材,ひやしちゅうかめん
ピザ,冷蔵,食材,ぴざ
卵,冷蔵,食材,たまご
牛乳,冷蔵,食材,ぎゅうにゅう
チーズ,冷蔵,食材,ちーず
バター,冷蔵,食材,ばたー
マーガリン,冷蔵,食材,まーがりん
ヨーグルト,冷蔵,食材,よーぐると
米,主食,食材,こめ
餅,主食,食材,もち
パックごはん,主食,食材,ぱっくごはん
食パン,主食,食材,しょくぱん
ロールパン,主食,食材,ろーるぱん
菓子パン,主食,食材,かしぱん
冷凍シーフードミックス,冷凍,食材,れいとうしーふーどみっくす
冷凍ほうれん草,冷凍,食材,れいとうほうれんそう
冷凍ブロッコリー,冷凍,食材,れいとうぶろっこりー
冷凍えだまめ,冷凍,食材,れいとうえだまめ
冷凍コーン,冷凍,食材,れいとうこーん
冷凍ミックスベジタブル,冷凍,食材,れいとうみっくすべじたぶる
冷凍うどん,冷凍,食材,れいとううどん
冷凍餃子,冷凍,食材,れいとうぎょうざ
冷凍唐揚げ,冷凍,食材,れいとうからあげ
冷凍コロッケ,冷凍,食材,れいとうころっけ
冷凍チャーハン,冷凍,食材,れいとうちゃーはん
冷凍パスタ,冷凍,食材,れいとうぱすた
ジャム,その他,調味料ほか,じゃむ
ビール,その他,調味料ほか,びーる
チューハイ,その他,調味料ほか,ちゅーはい
ワイン,その他,調味料ほか,わいん
調理用アルミホイル,その他,調味料ほか,ちょうりようあるみほいる
ラップ,その他,調味料ほか,らっぷ
キッチンペーパー,その他,調味料ほか,きっちんぺーぱー
乾電池,その他,調味料ほか,かんでんち
